Country,Age,Gender,Perception regarding personal growth,Attitute toward personal growth,Consumer of personal growth program (Last 3 Years),Barrier to purchase,Personal Growth content invested,Audience Name,Financial Freedom Interest,Natural Products Interest,Spiritual Interest,Motivation Interest,Coaching 1:1 Interest,Top Interest (Cloud Word),Masterclass Awareness,Calm Awareness,Udemy Awareness,Mindvalley Awareness,Program Purchase Drivers
US,46-54,Female,Content that teaches,Time is a barrier,No,Lack of time,,Holistic,Agree,Agree,Disagree,Disagree,Agree,"Watch TV,Read books,,,Socialise meet friends,Watch movies,,Exercise,Go for a walk,,,Listen to music,Go on an excursion,Go on a nightout,Cook/bake,,Spend time with my partner,Spend time with the kids,Go to a restaurant,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Time Convience
US,55+,Male,"No idea, never thought about it",Money is a barrier,No,Pricing,,Holistic,Disagree,Agree,Agree,Disagree,Agree,"Watch TV,Read books,,,Socialise meet friends,Watch movies,Browse social media,Exercise,Go for a walk,,Meditate practice mindfulness,Listen to music,,Go on a nightout,,Play video games,Spend time with my partner,,Go to a restaurant,",Not Familiar,Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Female,"No idea, never thought about it",It is for Everyone,No,Pricing,,Spirituality Skeekers,Agree,Agree,Disagree,Agree,Agree,"Watch TV,,,,Socialise meet friends,Watch movies,Browse social media,,Go for a walk,,,Listen to music,,,Cook/bake,Play video games,,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Male,Content that entertains,It is for Everyone,Yes,,Mindfullness,Spirituality Skeekers,Disagree,No opinion,Agree,Disagree,Agree,"Watch TV,,,,,,,,Go for a walk,,,Listen to music,,,Cook/bake,Play video games,,,,",Familiar,Not Familiar,Familiar,Not Familiar,Content Relevance
US,18-25,Female,Content that entertains,Credibility is a barrier,Yes,,Entrepreneurship/Leadership,Go Getters,Disagree,Agree,Agree,Agree,Agree,",,,Do arts crafts,Socialise meet friends,Watch movies,Browse social media,Exercise,,,,Listen to music,,Go on a nightout,,,,,,",Familiar,Very Familiar,Very Familiar,Not Familiar,Content Relevance
US,26-35,Female,Content that transforms,It is for Everyone,No,Pricing,,Spirituality Skeekers,No opinion,Agree,Agree,Disagree,Agree,"Watch TV,Read books,,,,Watch movies,,,Go for a walk,,,,,,,,Spend time with my partner,,Go to a restaurant,",Not Familiar,Familiar,Familiar,Familiar,Content Relevance
US,18-25,Female,Content that entertains,Credibility is a barrier,Yes,,Crisis healing,Kensho,Agree,Agree,Agree,Agree,Agree,",,,,Socialise meet friends,Watch movies,,,,,,,,,Cook/bake,,,Spend time with the kids,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Credibility
US,18-25,Female,Content that entertains,Money is a barrier,Yes,,Mindfullness,Lone Wolf,Agree,Agree,Agree,Agree,Agree,"Watch TV,Read books,,,,Watch movies,,Exercise,,,,Listen to music,,,Cook/bake,,,,Go to a restaurant,",Familiar,Familiar,Very Familiar,Very Familiar,Time Convience
US,18-25,Female,Content that teaches,It is for Everyone,No,Awareness,,Spirituality Skeekers,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,,Socialise meet friends,Watch movies,Browse social media,Exercise,Go for a walk,,Meditate practice mindfulness,Listen to music,,,,Play video games,,,,",Familiar,Very Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Female,Content that entertains,It is for Everyone,No,Pricing,,Holistic,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,Do arts crafts,,Watch movies,Browse social media,,Go for a walk,Learn new skills,,Listen to music,,,Cook/bake,,,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Credibility
US,18-25,Male,Content that transforms,Money is a barrier,No,Awareness,,Holistic,Agree,No opinion,Disagree,Agree,Agree,",Read books,,,,Watch movies,Browse social media,,,,,Listen to music,,,,,Spend time with my partner,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Male,Content that teaches,It is for Everyone,Yes,,Selfawareness,Spirituality Skeekers,Agree,Agree,Agree,Disagree,Agree,",Read books,,,Socialise meet friends,,,Exercise,Go for a walk,Learn new skills,Meditate practice mindfulness,Listen to music,Go on an excursion,,,,Spend time with my partner,Spend time with the kids,,",Not Familiar,Familiar,Not Familiar,Not Familiar,Content Relevance
US,18-25,Female,Content that entertains,It is for Everyone,Yes,,Entrepreneurship/Leadership,Holistic,Agree,Agree,Disagree,Disagree,Agree,",,,,,Watch movies,,Exercise,Go for a walk,,,Listen to music,,,,,,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Credibility
US,55+,Female,Content that transforms,It is for Everyone,No,Awareness,,Go Getters,Disagree,Agree,Agree,Agree,Agree,",,,,,,,,Go for a walk,,Meditate practice mindfulness,Listen to music,,,,,,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Female,Content that transforms,It is for Everyone,No,Pricing,,Spirituality Skeekers,Agree,Agree,Agree,Disagree,Agree,"Watch TV,,,,,Watch movies,,,Go for a walk,,Meditate practice mindfulness,Listen to music,,,,Play video games,,,,",Not Familiar,Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Female,Content that teaches,It is for Everyone,No,Awareness,,Bliss,Disagree,Agree,No opinion,Agree,Agree,"Watch TV,Read books,,Do arts crafts,Socialise meet friends,,,,Go for a walk,,,,,,,,Spend time with my partner,,,",Not Familiar,Familiar,Not Familiar,Not Familiar,Affordability
US,18-25,Female,Content that entertains,Time is a barrier,No,Awareness,,Holistic,Agree,Agree,Agree,Agree,Agree,",,,,,,,,Go for a walk,,,,,,Cook/bake,,,Spend time with the kids,,",Familiar,Familiar,Not Familiar,Familiar,Content Relevance
US,46-54,Male,Content that teaches,Time is a barrier,Yes,,Entrepreneurship/Leadership,Great Resignation,Agree,Disagree,Disagree,Agree,Disagree,"Watch TV,,,,,Watch movies,,Exercise,,,Meditate practice mindfulness,,,,Cook/bake,Play video games,,Spend time with the kids,Go to a restaurant,",Not Familiar,Very Familiar,Not Familiar,Not Familiar,Affordability
US,18-25,Female,Content that transforms,It is for Everyone,Yes,,Entrepreneurship/Leadership,Holistic,Agree,Agree,Agree,Agree,Agree,",Read books,,Do arts crafts,,,Browse social media,,,,,,,,Cook/bake,,,,,",Very Familiar,Very Familiar,Very Familiar,Not Familiar,Affordability
US,55+,Male,Content that transforms,It is for Everyone,No,Awareness,,Great Resignation,Agree,Agree,Agree,Agree,Disagree,"Watch TV,Read books,,,,Watch movies,,,Go for a walk,,,Listen to music,,,Cook/bake,Play video games,Spend time with my partner,,Go to a restaurant,",Familiar,Very Familiar,Familiar,Not Familiar,Affordability
US,46-54,Male,Content that transforms,Time is a barrier,No,Pricing,,Great Resignation,Agree,Agree,Disagree,Agree,Agree,"Watch TV,,,,,Watch movies,Browse social media,Exercise,Go for a walk,,,Listen to music,Go on an excursion,,Cook/bake,,Spend time with my partner,Spend time with the kids,Go to a restaurant,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Female,Content that teaches,Money is a barrier,No,Awareness,,Spirituality Skeekers,Agree,Agree,Agree,Disagree,Agree,"Watch TV,Read books,,Do arts crafts,Socialise meet friends,Watch movies,Browse social media,Exercise,Go for a walk,,,Listen to music,,,,,,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,46-54,Female,Content that transforms,It is for Everyone,Yes,,Mindfullness,Spirituality Skeekers,Disagree,Agree,Agree,Agree,Agree,",,,,,Watch movies,Browse social media,Exercise,,Learn new skills,,Listen to music,,,,,,,,",Familiar,Very Familiar,Not Familiar,Familiar,Affordability
US,26-35,Male,Content that teaches,Money is a barrier,Yes,,Crisis healing,Great Resignation,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,,,Watch movies,Browse social media,Exercise,,,,Listen to music,Go on an excursion,Go on a nightout,,,Spend time with my partner,,Go to a restaurant,",Very Familiar,Very Familiar,Very Familiar,Very Familiar,Affordability
US,55+,Male,Content that transforms,Time is a barrier,No,Lack of time,,Bliss,Agree,Agree,No opinion,Agree,No opinion,"Watch TV,Read books,,,,Watch movies,,,Go for a walk,,,Listen to music,,,,,,,,",Familiar,Familiar,Not Familiar,Not Familiar,Content Relevance
US,26-35,Female,Content that transforms,Money is a barrier,Yes,,Entrepreneurship/Leadership,Kensho,Disagree,Agree,Agree,Agree,Disagree,",,Play sports,,,,,,,,Meditate practice mindfulness,,,,,,,,Go to a restaurant,",Very Familiar,Very Familiar,Very Familiar,Familiar,Affordability
US,26-35,Female,Content that teaches,Credibility is a barrier,Yes,,Fitness,Holistic,Agree,Agree,Agree,Agree,Agree,",,,Do arts crafts,,Watch movies,,,,Learn new skills,,,,,,Play video games,,,,",Very Familiar,Very Familiar,Very Familiar,Very Familiar,Time Convience
US,46-54,Female,Content that transforms,It is for Everyone,No,Pricing,,Spirituality Skeekers,Agree,Agree,Agree,Disagree,Agree,"Watch TV,,,,,Watch movies,Browse social media,Exercise,Go for a walk,Learn new skills,Meditate practice mindfulness,Listen to music,,,Cook/bake,Play video games,Spend time with my partner,,Go to a restaurant,",Very Familiar,Very Familiar,Very Familiar,Very Familiar,Content Relevance
US,55+,Male,"No idea, never thought about it",Money is a barrier,No,Pricing,,Spirituality Skeekers,Disagree,Agree,Agree,Disagree,Agree,",,,,,,,Exercise,Go for a walk,,,Listen to music,,,Cook/bake,,,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Affordability
US,46-54,Male,Content that teaches,Money is a barrier,No,Pricing,,Holistic,Agree,Agree,Agree,Disagree,Agree,",Read books,,,,Watch movies,,Exercise,,,,,,,,,,,,",Very Familiar,Very Familiar,Very Familiar,Very Familiar,Content Relevance
US,55+,Male,"No idea, never thought about it",Money is a barrier,No,Awareness,,Great Resignation,Agree,Disagree,No opinion,Agree,No opinion,"Watch TV,Read books,,,Socialise meet friends,,,,Go for a walk,,,,,,,,,,,",Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Female,Content that teaches,It is for Everyone,Yes,,Other,Gen Z,Disagree,Agree,Disagree,Disagree,Agree,"Watch TV,Read books,,Do arts crafts,,,,,,Learn new skills,,,,,Cook/bake,Play video games,Spend time with my partner,,,",Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Female,Content that teaches,It is for Everyone,Yes,,Finding community,Spirituality Skeekers,Disagree,Agree,Agree,Disagree,Agree,"Watch TV,Read books,,Do arts crafts,Socialise meet friends,Watch movies,Browse social media,,Go for a walk,,,Listen to music,,Go on a nightout,Cook/bake,,Spend time with my partner,,Go to a restaurant,",Not Familiar,Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Female,"No idea, never thought about it",Credibility is a barrier,No,Awareness,,Spirituality Skeekers,Agree,Agree,Agree,Disagree,Agree,"Watch TV,Read books,,Do arts crafts,Socialise meet friends,Watch movies,,Exercise,Go for a walk,Learn new skills,Meditate practice mindfulness,Listen to music,,,Cook/bake,Play video games,,Spend time with the kids,Go to a restaurant,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Female,Content that transforms,It is for Everyone,No,Awareness,,Go Getters,Agree,Agree,Agree,Disagree,No opinion,"Watch TV,,,,,,Browse social media,Exercise,,,,Listen to music,,,,,Spend time with my partner,,,",Not Familiar,Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Male,Content that teaches,Time is a barrier,Yes,,Selfawareness,Spirituality Skeekers,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,,,Watch movies,Browse social media,,Go for a walk,,,,,,,Play video games,Spend time with my partner,Spend time with the kids,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,26-35,Female,Content that transforms,Credibility is a barrier,No,Awareness,,Holistic,No opinion,No opinion,No opinion,Agree,No opinion,",Read books,,,,Watch movies,Browse social media,Exercise,,,,Listen to music,,,,Play video games,,,,",Not Familiar,Familiar,Familiar,Not Familiar,Content Relevance
US,26-35,Female,Content that entertains,Time is a barrier,Yes,,Selfawareness,Lone Wolf,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,,Socialise meet friends,,,,,Learn new skills,,Listen to music,Go on an excursion,,Cook/bake,Play video games,,,,",Familiar,Familiar,Very Familiar,Very Familiar,Affordability
US,55+,Prefer not to say,Content that transforms,Credibility is a barrier,Yes,,Holistic,Spirituality Skeekers,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,,,,,,,,,,Go on an excursion,,Cook/bake,,,,,",Familiar,Familiar,Familiar,Familiar,Content Relevance
US,46-54,Female,Content that teaches,It is for Everyone,No,Awareness,,Kensho,Agree,Agree,Disagree,Agree,Agree,"Watch TV,Read books,,,,Watch movies,Browse social media,,,,,Listen to music,,,Cook/bake,Play video games,Spend time with my partner,,Go to a restaurant,",Not Familiar,Familiar,Not Familiar,Not Familiar,Affordability
US,46-54,Female,Content that teaches,Money is a barrier,No,Awareness,,Great Resignation,Agree,No opinion,Disagree,Agree,Disagree,"Watch TV,,,,,,,,Go for a walk,,,Listen to music,,,,,,,,",Familiar,Very Familiar,Very Familiar,Very Familiar,Time Convience
US,46-54,Female,Content that transforms,Time is a barrier,Yes,,Finding community,Connection Seeker,Disagree,No opinion,Disagree,Agree,No opinion,"Watch TV,,,,,Watch movies,,,,,,Listen to music,,,Cook/bake,,Spend time with my partner,,Go to a restaurant,",Familiar,Very Familiar,Not Familiar,Not Familiar,Affordability
US,46-54,Male,Content that teaches,It is for Everyone,Yes,,Entrepreneurship/Leadership,Gen Z,Agree,Agree,Disagree,Disagree,Agree,"Watch TV,,,,,,Browse social media,,,Learn new skills,,,,,Cook/bake,Play video games,,,,",Not Familiar,Very Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Female,Content that teaches,It is for Everyone,No,Pricing,,Bliss,No opinion,Agree,Agree,Disagree,Agree,"Watch TV,Read books,,Do arts crafts,,Watch movies,,Exercise,Go for a walk,,,,,,Cook/bake,,Spend time with my partner,,,",Not Familiar,Familiar,Familiar,Not Familiar,Affordability
US,55+,Female,Content that transforms,It is for Everyone,Yes,,Fitness,Spirituality Skeekers,Disagree,Agree,Agree,Disagree,Agree,",Read books,,,Socialise meet friends,Watch movies,,,Go for a walk,,,Listen to music,,,,,,,Go to a restaurant,",Very Familiar,Very Familiar,Familiar,Very Familiar,Content Relevance
US,26-35,Male,Content that transforms,It is for Everyone,Yes,,Selfawareness,Spirituality Skeekers,Agree,Agree,Disagree,Disagree,Agree,",,,,Socialise meet friends,,Browse social media,,,,,,,,,,,,,",Familiar,Familiar,Not Familiar,Familiar,Affordability
US,26-35,Male,Content that transforms,It is for Everyone,No,Pricing,,Spirituality Skeekers,Disagree,Disagree,Agree,Disagree,Agree,"Watch TV,,,,Socialise meet friends,Watch movies,,,Go for a walk,,,,,,Cook/bake,,,,,",Very Familiar,Very Familiar,Very Familiar,Familiar,Content Relevance
US,46-54,Female,Content that transforms,Credibility is a barrier,No,Pricing,,Go Getters,No opinion,No opinion,Disagree,No opinion,No opinion,"Watch TV,,,,,Watch movies,,,,,,,Go on an excursion,,Cook/bake,,,Spend time with the kids,,",Not Familiar,Familiar,Not Familiar,Not Familiar,Time Convience
US,46-54,Prefer not to say,Content that transforms,It is for Everyone,No,Lack of time,,Great Resignation,Agree,Agree,Agree,Agree,Disagree,"Watch TV,,,,,Watch movies,Browse social media,,Go for a walk,,,Listen to music,,,Cook/bake,,,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,46-54,Female,Content that teaches,It is for Everyone,Yes,,Mindfullness,Spirituality Skeekers,Disagree,Agree,Agree,Agree,Agree,"Watch TV,Read books,,,Socialise meet friends,Watch movies,Browse social media,,,Learn new skills,Meditate practice mindfulness,,,,Cook/bake,,Spend time with my partner,,Go to a restaurant,",Not Familiar,Familiar,Familiar,Not Familiar,Content Relevance
US,46-54,Prefer not to say,Content that teaches,Money is a barrier,No,Pricing,,Holistic,Agree,Disagree,Agree,Agree,Agree,"Watch TV,Read books,,,Socialise meet friends,,,,Go for a walk,,,,,,Cook/bake,,Spend time with my partner,Spend time with the kids,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Male,Content that entertains,Money is a barrier,No,Pricing,,Great Resignation,Agree,Agree,Agree,Agree,No opinion,",Read books,Play sports,,,,,Exercise,,Learn new skills,,Listen to music,,,,,Spend time with my partner,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Affordability
